Tiktoker name,Subscribers count,Views avg.,Likes avg,Comments avg.,Shares avg
soso_aroundtheworld,109.8K,3M,420K,10.8K,13.2K
newboyjosh,340.5K,4M,445K,6.4K,10.4K
initiaraandini,4.1M,7.4M,651.6K,4.4K,1.8K
iamkevingates,2.1M,3.5M,413.6K,9.4K,11.3K
max7424453118,2.8M,3.5M,572.6K,5.2K,9.5K
danya_milokhin,16.5M,6.3M,733.2K,4.6K,1.7K
samanthalogan,1.8M,6M,840.9K,3K,2.8K
jakekrantz1,2.1M,3.6M,772.3K,3.2K,7.1K
fujiiian,12.7M,6.2M,760.4K,3.4K,2.6K
vincentmarcus,2.5M,10.7M,250.4K,2.3K,8.2K
hongthanhofficial,1.3M,7.7M,675.6K,2.7K,2.7K
kervo.dolo,7.5M,3.9M,606.4K,4.4K,7.1K
zachjustice,3.9M,6M,793.7K,1K,4.6K
qamar_altaey,3.6M,348K,10.2K,10.8K,
fortnitekanal.exe,1.4M,2.2M,539.4K,14K,7.8K
m.wardy_14,67.6K,1.9M,465.5K,3.8K,24.8K
ynchq,3.7M,3.9M,645.1K,4.1K,5.8K
nilered,8.7M,4M,725.8K,5.4K,3.2K
besttoks,2.2M,17.4M,451.6K,1.1K,2.1K
miketoks,11.6M,6.2M,599.7K,2.5K,4K
tiktokmena,5.7M,39.5M,179.2K,1.2K,2.2K
eyavanana,10.8M,4.6M,725.3K,5K,2.1K
john.leitao,2.7M,4.3M,380.9K,7.8K,6.4K
brunodiferente2022,4M,6.6M,116.7K,6K,22.4K
sugarcoatedsisters,320.3K,3.2M,523.8K,2.6K,10.5K
hesfinatia,8.3M,8.6M,936.9K,1.8K,837
vadik_dikiy,914.8K,3.2M,489.1K,2K,11.8K
championsleague,11.6M,3.6M,628.3K,4.2K,5.1K
esnyrrr,4.4M,3.5M,645.3K,4.5K,4.8K
savanahmosss,9.3M,4.5M,703K,4.1K,2.5K
dindahw14,3M,7.9M,689.2K,2K,1.8K
joshiiwuhhh,3.2M,2.9M,555.5K,3.7K,8.8K
j3ipy_,7.8M,4.3M,760.7K,3.3K,2.8K
morganpresleyxo,5.3M,4.8M,638.5K,3.1K,3.5K
skaijackson,19.7M,5.2M,824K,3.1K,1.5K
ssmaaaryy,6.8M,6.4M,586.3K,2.8K,2.4K
vhackerr,13.9M,2.9M,593.7K,7.8K,3.6K
tranvantre992,759.3K,9.1M,472.9K,3.7K,799
jwaltonnn,1.7M,369.4K,28K,2.5K,
kubenjoy,3.5M,4.2M,476.3K,5K,4.5K
jdiasss_,7M,3.5M,817K,4.5K,2K
evcnoble,9.8M,3.4M,844.5K,3.2K,3.4K
victormelo,19.4M,4.6M,642.2K,3.8K,2.4K
emilen_im,4M,5.3M,663.1K,4K,1.2K
ehlija,3.3M,4M,506K,4.7K,4.3K
thoriqhal,3.8M,5.8M,662K,2.4K,2.2K
afgsuga,161.7K,3.3M,490.3K,4.1K,6.8K
jen_wolff,187.6K,2.9M,371.6K,5.7K,10.5K
tubbynugget,3.5M,2.6M,518.2K,2.1K,10.8K
rescuerestore,1.5M,9.2M,430K,1.5K,2.9K
baddest4bitches,1.5M,2.5M,580.2K,8.5K,3.4K
_itsstefano_,4.4M,4.6M,553.8K,5.8K,856
guryan_off,2.6M,3.3M,479.5K,3.1K,7.7K
thebenjishow,5.5M,3.4M,549.6K,3.8K,5.2K
mikaelatesta,1.7M,4.3M,960.3K,3.3K,749
grillervm,2.9M,4.3M,549.3K,2.9K,4K
riaricis,25.5M,5.5M,665.1K,2.2K,2.1K
lizzza,29.4M,5.2M,1.2M,1.9K,616
elmarianaa,6.5M,3.8M,834.8K,1.6K,3.3K
somi_official_,6.1M,3M,746.3K,4.6K,2.3K
